circuit,dtype,eta,frac_finite,frac_onehot,fwd_rel_err,label,max_entropy,mean_entropy,n_free,n_lookups_scored,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
CKT_0076,f64,9.974850276651402e-17,1.0,1.0,3.561559196031606e-16,prune 90%,-0.0,0.0,7,765,True,0.9,0.9,False,,1.0
CKT_0076,f64,1.0,1.0,0.022222222222222223,1.0,prune 90%(nz),3.8066624897703196,2.86942074753616,7,765,False,0.0,0.9,True,,0.6300653594771242
CKT_0060,f64,6.221580244719585e-17,1.0,1.0,7.816103430761226e-17,f64,-0.0,0.0,8,1134,True,17.15,0.0,False,,1.0
CKT_0060,f32,9.343874479595832e-09,1.0,1.0,1.1381245665161072e-07,f32,-0.0,0.0,8,1134,True,17.15,0.0,False,,1.0
CKT_0060,bf16,0.04244879292396415,1.0,0.9294532627865961,5.45996595825089,bf16,1.6100325899634482,0.07830184673891534,8,1134,False,23.95,0.0,False,,0.9426807760141094
CKT_0060,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,8,1134,False,0.0,0.0,False,,0.6014109347442681
CKT_0060,f64,1.0,1.0,0.018518518518518517,1.0,per_tensor int8,3.988984046564274,3.0429650419110224,8,1134,False,0.0,0.0,False,per_tensor_int8,0.6014109347442681
CKT_0060,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,8,1134,False,0.0,0.0,False,per_channel_int8,0.25749559082892415
CKT_0060,f64,6.221580244719585e-17,1.0,1.0,7.816103430761226e-17,prune 10%,-0.0,0.0,8,1134,True,17.15,0.1,False,,1.0
CKT_0060,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,8,1134,False,0.0,0.1,True,,0.13756613756613756
CKT_0060,f64,6.221580244719585e-17,1.0,1.0,7.816103430761226e-17,prune 50%,-0.0,0.0,8,1134,True,17.15,0.5,False,,1.0
CKT_0060,f64,1.0,1.0,0.018518518518518517,1.0,prune 50%(nz),3.988984046564274,3.0429650419110224,8,1134,False,0.0,0.5,True,,0.6014109347442681
CKT_0060,f64,6.221580244719585e-17,1.0,1.0,7.816103430761226e-17,prune 90%,-0.0,0.0,8,1134,True,17.15,0.9,False,,1.0
CKT_0060,f64,1.0,1.0,0.018518518518518517,1.0,prune 90%(nz),3.988984046564274,3.0429650419110224,8,1134,False,0.0,0.9,True,,0.6014109347442681
CKT_0103,f64,1.7434894341687193e-17,1.0,1.0,1.520319270340808e-16,f64,-0.0,0.0,8,1232,True,8.65,0.0,False,,1.0
CKT_0103,f32,1.2606448744662603e-08,1.0,1.0,1.0983740758957568e-07,f32,-0.0,0.0,8,1232,True,8.65,0.0,False,,1.0
CKT_0103,bf16,0.1903911733611021,1.0,0.9237012987012987,0.9187252712347591,bf16,1.7933039683333103,0.07721278879041046,8,1232,False,5.85,0.0,False,,0.9342532467532467
CKT_0103,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,8,1232,False,0.0,0.0,False,,0.5811688311688312
CKT_0103,f64,1.0,1.0,0.017857142857142856,1.0,per_tensor int8,4.025351690735148,3.0777285203421925,8,1232,False,0.0,0.0,False,per_tensor_int8,0.5811688311688312
CKT_0103,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,8,1232,False,0.0,0.0,False,per_channel_int8,0.2824675324675325
CKT_0103,f64,1.7434894341687193e-17,1.0,1.0,1.520319270340808e-16,prune 10%,-0.0,0.0,8,1232,True,8.65,0.1,False,,1.0
CKT_0103,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,8,1232,False,0.0,0.1,True,,0.14366883116883117
CKT_0103,f64,1.7434894341687193e-17,1.0,1.0,1.520319270340808e-16,prune 50%,-0.0,0.0,8,1232,True,8.65,0.5,False,,1.0
CKT_0103,f64,1.0,1.0,0.017857142857142856,1.0,prune 50%(nz),4.025351690735148,3.0777285203421925,8,1232,False,0.0,0.5,True,,0.5811688311688312
CKT_0103,f64,1.7434894341687193e-17,1.0,1.0,1.520319270340808e-16,prune 90%,-0.0,0.0,8,1232,True,8.65,0.9,False,,1.0
CKT_0103,f64,1.0,1.0,0.017857142857142856,1.0,prune 90%(nz),4.025351690735148,3.0777285203421925,8,1232,False,0.0,0.9,True,,0.5811688311688312
CKT_0101,f64,2.92729705878414e-17,1.0,1.0,1.5926202266571858e-16,f64,-0.0,0.0,9,1357,True,2.65,0.0,False,,1.0
