circuit,n_free,kappa,target,truth,v_unrounded,v_pred,err_total,err_quant,err_target,err_solve,passes,knife_edge,n_S,n_clamped
CKT_0140,10,30369.207707648617,9,14.9813,14.981260979989164,15.0,0.018700000000000827,0.018739020010835716,3.902001083488926e-05,0.0,True,False,10,0
CKT_0141,9,305.71049323332574,8,4.0347,4.034663208210783,4.05,0.01529999999999987,0.015336791789216875,3.6791789217005544e-05,0.0,True,False,9,0
CKT_0142,10,73.95062378797971,9,1.9138,1.913808920903163,1.9,0.013800000000000034,0.013808920903163102,8.920903163067706e-06,0.0,True,False,10,0
CKT_0143,9,773.5699136137108,8,1.83,1.830040280991775,1.85,0.020000000000000018,0.01995971900822502,4.028099177499911e-05,2.220446049250313e-16,True,False,9,0
CKT_0144,17,86727.80318431904,11,9.281,9.280979517919743,9.3,0.019000000000000128,0.01902048208025775,2.0482080257622215e-05,5.329070518200751e-15,True,False,17,0
CKT_0145,16,835.731936905413,11,7.6912,7.6912157903540885,7.7,0.008799999999999919,0.008784209645911645,1.5790354088274228e-05,8.881784197001252e-16,True,False,16,0
CKT_0146,17,6158.527386623071,11,6.7647,6.764717555783867,6.75,0.01470000000000038,0.01471755578386702,1.7555783866640695e-05,1.7763568394002505e-15,True,False,17,0
CKT_0147,17,17989.289566898926,11,5.227,5.227004254056989,5.25,0.022999999999999687,0.022995745943011237,4.254056988450827e-06,8.881784197001252e-16,True,False,17,0
CKT_0148,17,1741.9745769574797,11,8.9632,8.963223337937066,8.95,0.01320000000000121,0.01322333793706676,2.333793706554843e-05,0.0,True,False,17,0
CKT_0149,6,61.25480747048962,5,1.9826,1.9826487975944513,2.0,0.017400000000000082,0.01735120240554866,4.8797594451421844e-05,0.0,True,False,6,0
CKT_0150,5,31.56607010207272,5,8.9991,8.999084335971823,9.0,0.0008999999999996788,0.0009156640281773321,1.5664028177653222e-05,0.0,True,False,5,0
CKT_0151,9,nan,7,15.0,15.0,15.0,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0152,8,792.4471587992062,7,3.5907,3.590746506669082,3.6,0.009300000000000086,0.009253493330918072,4.650666908201373e-05,2.6201263381153694e-14,True,False,8,0
CKT_0153,13,4842.190526909557,9,3.4371,3.437143082574676,3.45,0.012900000000000134,0.012856917425324355,4.308257467577903e-05,4.440892098500626e-16,True,False,13,0
CKT_0154,16,15198.15884235046,11,13.3355,13.335536318200482,13.35,0.014499999999999957,0.014463681799517403,3.631820048255463e-05,1.0658141036401503e-14,True,False,16,0
