K,circuit,dtype,eta,frac_finite,frac_onehot,frac_tied,fwd_rel_err,max_entropy,mean_entropy,n_free,n_lookups,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
10000.0,CKT_0093,f64,1.0,1.0,0.012987012987012988,0.987012987012987,1.0,4.343805421853685,3.3839602723618603,13,23716,False,0.0,0.9,True,,0.9046213526733007
10000000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.17277018229166666,0.8272298177083334,2.443935120039048e-16,4.564348191467835,3.007454146782434,16,36864,True,13.35,0.0,False,,1.0
10000000000.0,CKT_0154,f32,2.510649571375267e-08,1.0,0.17277018229166666,0.8272298177083334,8.959803498647446e-08,4.564348297693688,3.007454167649678,16,36864,True,13.35,0.0,False,,1.0
10000000000.0,CKT_0154,bf16,0.02797919629440363,1.0,0.1636013454861111,0.8363986545138888,2006.605248992019,4.571307902921217,3.0206034784568607,16,36864,False,23.95,0.0,False,,0.9905327690972222
10000000000.0,CKT_0154,f16,inf,0.020182291666666668,0.0025227864583333335,0.017659505208333332,inf,2.0794415416798357,0.026751641943586455,16,36864,False,0.0,0.0,False,,0.726318359375
10000000000.0,CKT_0154,f64,1.0,1.0,0.010416666666666666,0.9895833333333334,1.0,4.564348191467835,3.5977021568986123,16,36864,False,0.0,0.0,False,per_tensor_int8,0.9029134114583334
10000000000.0,CKT_0154,f64,0.9999999999818622,1.0,0.17277018229166666,0.8272298177083334,1.0,4.564348191467835,3.007454146782434,16,36864,False,0.0,0.0,False,per_channel_int8,0.920654296875
10000000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.17277018229166666,0.8272298177083334,2.443935120039048e-16,4.564348191467835,3.007454146782434,16,36864,True,13.35,0.1,False,,1.0
10000000000.0,CKT_0154,f64,1.0,1.0,0.17277018229166666,0.8272298177083334,1.0,4.564348191467835,3.007454146782434,16,36864,False,0.0,0.1,True,,0.9127875434027778
10000000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.17277018229166666,0.8272298177083334,2.443935120039048e-16,4.564348191467835,3.007454146782434,16,36864,True,13.35,0.5,False,,1.0
10000000000.0,CKT_0154,f64,1.0,1.0,0.17277018229166666,0.8272298177083334,1.0,4.564348191467835,3.007454146782434,16,36864,False,0.0,0.5,True,,0.9127875434027778
10000000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.17277018229166666,0.8272298177083334,2.443935120039048e-16,4.564348191467835,3.007454146782434,16,36864,True,13.35,0.9,False,,1.0
10000000000.0,CKT_0154,f64,1.0,1.0,0.010416666666666666,0.9895833333333334,1.0,4.564348191467835,3.5977021568986123,16,36864,False,0.0,0.9,True,,0.9029134114583334
100000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.1753472222222222,0.8246527777777778,2.443935120039048e-16,4.564348191467835,2.998085130748844,16,36864,True,13.35,0.0,False,,1.0
100000000.0,CKT_0154,f32,2.510649571375267e-08,1.0,0.1753472222222222,0.8246527777777778,8.959803498647446e-08,4.564348297693688,2.9980851515510807,16,36864,True,13.35,0.0,False,,1.0
100000000.0,CKT_0154,bf16,0.01833859370322968,1.0,0.16707356770833334,0.8329264322916666,4965.153872536801,4.571307902921217,3.0096381388982127,16,36864,False,23.95,0.0,False,,0.9911838107638888
100000000.0,CKT_0154,f16,inf,0.020182291666666668,0.0025227864583333335,0.017659505208333332,inf,2.0794415416798357,0.026751641943586455,16,36864,False,0.0,0.0,False,,0.7237413194444444
100000000.0,CKT_0154,f64,1.0,1.0,0.010416666666666666,0.9895833333333334,1.0,4.564348191467835,3.5977021568986123,16,36864,False,0.0,0.0,False,per_tensor_int8,0.9003363715277778
100000000.0,CKT_0154,f64,1.0,1.0,0.1753472222222222,0.8246527777777778,1.0,4.564348191467835,2.998085130748844,16,36864,False,0.0,0.0,False,per_channel_int8,0.920654296875
100000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.1753472222222222,0.8246527777777778,2.443935120039048e-16,4.564348191467835,2.998085130748844,16,36864,True,13.35,0.1,False,,1.0
100000000.0,CKT_0154,f64,1.0,1.0,0.1753472222222222,0.8246527777777778,1.0,4.564348191467835,2.998085130748844,16,36864,False,0.0,0.1,True,,0.9127875434027778
100000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.1753472222222222,0.8246527777777778,2.443935120039048e-16,4.564348191467835,2.998085130748844,16,36864,True,13.35,0.5,False,,1.0
100000000.0,CKT_0154,f64,1.0,1.0,0.1753472222222222,0.8246527777777778,1.0,4.564348191467835,2.998085130748844,16,36864,False,0.0,0.5,True,,0.9127875434027778
100000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.1753472222222222,0.8246527777777778,2.443935120039048e-16,4.564348191467835,2.998085130748844,16,36864,True,13.35,0.9,False,,1.0
100000000.0,CKT_0154,f64,1.0,1.0,0.010416666666666666,0.9895833333333334,1.0,4.564348191467835,3.5977021568986123,16,36864,False,0.0,0.9,True,,0.9003363715277778
1000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.1701931423611111,0.8298068576388888,2.443935120039048e-16,4.564348191467835,3.0168231628160247,16,36864,True,13.35,0.0,False,,1.0
1000000.0,CKT_0154,f32,2.510649571375267e-08,1.0,0.1701931423611111,0.8298068576388888,8.959803498647446e-08,4.564348297693688,3.0168231837482753,16,36864,True,13.35,0.0,False,,1.0
1000000.0,CKT_0154,bf16,0.06949268205552338,1.0,0.1603732638888889,0.8396267361111112,1663.2022837591423,4.571307902921217,3.0301043214025007,16,36864,False,23.95,0.0,False,,0.9896647135416666
1000000.0,CKT_0154,f16,inf,0.020399305555555556,0.0025499131944444445,0.017849392361111112,inf,2.0794415416798357,0.027039294007495985,16,36864,False,0.0,0.0,False,,0.7269965277777778
