circuit_id,complexity,N,T_used,V_STEP_V,pred_V_dsl,truth_V,abs_error,pass_fail,jacobi_ref_V,rho_M,kappa_A,seq_length,dsl_time_ms,error
CKT_0143,Hard,15,1000,0.01,1.8300,1.83,0.0000,PASS,1.8299,0.859251,7.7357e+02,30034,24615.0,
CKT_0144,Hard,22,1100,0.01,9.2500,9.281,0.0310,PASS,9.2762,0.990025,8.6728e+04,48448,39559.0,
CKT_0145,Hard,22,1100,0.01,7.6400,7.6912,0.0512,FAIL,7.6901,0.997469,8.3573e+02,48448,39532.2,
CKT_0146,Hard,22,1100,0.01,1.4400,6.7647,5.3247,FAIL,6.7538,0.971400,6.1585e+03,48448,39705.4,
CKT_0147,Hard,22,1100,0.01,5.0200,5.227,0.2070,FAIL,5.2264,0.989952,1.7989e+04,48448,39924.2,
CKT_0148,Hard,22,1100,0.01,8.9600,8.9632,0.0032,PASS,8.9632,0.992654,1.7420e+03,48448,40331.5,
CKT_0149,Hard,10,1000,0.01,1.9800,1.9826,0.0026,PASS,1.9829,0.910931,6.1255e+01,20024,16172.5,
CKT_0150,Hard,10,1000,0.01,9.0000,8.9991,0.0009,PASS,8.9992,0.783367,3.1566e+01,20024,16360.8,
CKT_0151,Hard,14,1000,0.01,15.0000,15.0,0.0000,PASS,15.0000,0.934629,1.3520e+04,28032,22916.1,
CKT_0152,Hard,14,1000,0.01,2.9200,3.5907,0.6707,FAIL,3.5301,0.996068,7.9245e+02,28032,23113.2,
CKT_0153,Hard,18,1000,0.01,3.4400,3.4371,0.0029,PASS,3.4366,0.662593,4.8422e+03,36040,29407.5,
CKT_0154,Hard,22,1100,0.01,11.1900,13.3355,2.1455,FAIL,13.3348,0.955784,1.5198e+04,48448,40298.4,
