circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,ref_V_lu,ref_V_direct,truth_V,abs_error,pass_fail,seq_length,build_time_s,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0086,Hard,25,19,6,24,4.6500,4.6500,4.6500,4.6575,0.0075,PASS,111,12.80,0.38,4,220,built,PASS,
CKT_0087,Hard,25,20,5,24,20.0500,20.0500,20.0500,20.0725,0.0225,PASS,114,13.46,0.37,4,226,built,PASS,
CKT_0088,Hard,26,21,5,25,4.9500,4.9500,4.9500,4.9738,0.0238,PASS,119,14.52,0.43,4,236,built,PASS,
CKT_0089,Hard,17,11,6,8,3.5000,3.5000,3.5000,3.4927,0.0073,PASS,71,10.55,0.18,4,144,built,PASS,
CKT_0090,Hard,19,13,6,10,4.9500,4.9500,4.9500,4.9572,0.0072,PASS,81,13.84,0.21,4,164,built,PASS,
CKT_0091,Hard,17,12,5,8,13.4000,13.4000,13.4000,13.3976,0.0024,PASS,74,9.15,0.18,4,148,built,PASS,
CKT_0092,Hard,19,13,6,10,15.0500,15.0500,15.0500,15.0485,0.0015,PASS,81,19.06,0.30,4,164,built,PASS,
CKT_0093,Hard,17,13,4,8,10.8500,10.8500,10.8500,10.8352,0.0148,PASS,77,14.70,0.17,4,154,built,PASS,
CKT_0094,Hard,10,6,4,6,4.1500,4.1500,4.1500,4.1475,0.0025,PASS,42,3.18,0.07,4,86,built,PASS,
CKT_0095,Hard,11,5,6,6,1.8000,1.8000,1.8000,1.8,0.0000,PASS,41,3.75,0.08,4,86,built,PASS,
CKT_0096,Hard,10,5,5,6,11.3000,11.3000,11.3000,11.3191,0.0191,PASS,39,3.11,0.09,4,82,built,PASS,
CKT_0097,Hard,11,7,4,6,4.3000,4.3000,4.3000,4.2758,0.0242,PASS,47,4.18,0.13,4,96,built,PASS,
CKT_0098,Hard,10,4,6,6,9.2000,9.2000,9.2000,9.202,0.0020,PASS,36,2.48,0.05,4,76,built,PASS,
CKT_0099,Hard,14,10,4,7,1.8500,1.8500,1.8500,1.8308,0.0192,PASS,62,8.48,0.15,4,124,built,PASS,
CKT_0100,Hard,14,8,6,7,5.0000,5.0000,5.0000,5.0,0.0000,PASS,56,6.03,0.12,4,116,built,PASS,
CKT_0101,Hard,14,9,5,7,2.6500,2.6500,2.6500,2.6478,0.0022,PASS,59,6.44,0.15,4,120,built,PASS,
CKT_0102,Hard,14,8,6,7,10.8500,10.8500,10.8500,10.8656,0.0156,PASS,56,5.41,0.20,4,116,built,PASS,
CKT_0103,Hard,14,8,6,7,8.6500,8.6500,8.6500,8.6457,0.0043,PASS,56,4.47,0.14,4,116,built,PASS,
