circuit_id,setting,N,n_free,pred_v,truth_v,abs_error_v,delta_vs_float64,pass_50mv,pass_75mv,build_status,run_status,run_time_s,error
CKT_0031,int8,,3,0.000000,3.1534,3.153400,3.150000,FAIL,FAIL,,FAIL,0.03,
CKT_0031,int4,,3,0.000000,3.1534,3.153400,3.150000,FAIL,FAIL,,FAIL,0.03,
CKT_0031,prune10,,3,3.150000,3.1534,0.003400,0.000000,PASS,PASS,,PASS,0.03,
CKT_0031,prune50,,3,3.150000,3.1534,0.003400,0.000000,PASS,PASS,,PASS,0.02,
CKT_0031,prune90,,3,3.150000,3.1534,0.003400,0.000000,PASS,PASS,,PASS,0.03,
CKT_0032,float64,,3,2.550000,2.5535,0.003500,0.000000,PASS,PASS,,PASS,0.03,
CKT_0032,int16,,3,0.000000,2.5535,2.553500,2.550000,FAIL,FAIL,,FAIL,0.03,
CKT_0032,int8,,3,0.000000,2.5535,2.553500,2.550000,FAIL,FAIL,,FAIL,0.03,
CKT_0032,int4,,3,0.000000,2.5535,2.553500,2.550000,FAIL,FAIL,,FAIL,0.03,
CKT_0032,prune10,,3,2.550000,2.5535,0.003500,0.000000,PASS,PASS,,PASS,0.03,
CKT_0032,prune50,,3,2.550000,2.5535,0.003500,0.000000,PASS,PASS,,PASS,0.03,
CKT_0032,prune90,,3,2.550000,2.5535,0.003500,0.000000,PASS,PASS,,PASS,0.03,
CKT_0033,float64,,3,18.850000,18.8788,0.028800,0.000000,PASS,PASS,,PASS,0.03,
CKT_0033,int16,,3,0.000000,18.8788,18.878800,18.850000,FAIL,FAIL,,FAIL,0.03,
CKT_0033,int8,,3,0.000000,18.8788,18.878800,18.850000,FAIL,FAIL,,FAIL,0.03,
CKT_0033,int4,,3,0.000000,18.8788,18.878800,18.850000,FAIL,FAIL,,FAIL,0.03,
CKT_0033,prune10,,3,18.850000,18.8788,0.028800,0.000000,PASS,PASS,,PASS,0.03,
CKT_0033,prune50,,3,18.850000,18.8788,0.028800,0.000000,PASS,PASS,,PASS,0.03,
CKT_0033,prune90,,3,18.850000,18.8788,0.028800,0.000000,PASS,PASS,,PASS,0.03,
CKT_0034,float64,,3,4.650000,4.6738,0.023800,0.000000,PASS,PASS,,PASS,0.03,
CKT_0034,int16,,3,0.000000,4.6738,4.673800,4.650000,FAIL,FAIL,,FAIL,0.03,
CKT_0034,int8,,3,0.000000,4.6738,4.673800,4.650000,FAIL,FAIL,,FAIL,0.03,
CKT_0034,int4,,3,0.000000,4.6738,4.673800,4.650000,FAIL,FAIL,,FAIL,0.03,
CKT_0034,prune10,,3,4.650000,4.6738,0.023800,0.000000,PASS,PASS,,PASS,0.02,
CKT_0034,prune50,,3,4.650000,4.6738,0.023800,0.000000,PASS,PASS,,PASS,0.03,
CKT_0034,prune90,,3,4.650000,4.6738,0.023800,0.000000,PASS,PASS,,PASS,0.03,
CKT_0035,float64,,3,1.750000,1.7570,0.007000,0.000000,PASS,PASS,,PASS,0.03,
CKT_0035,int16,,3,0.000000,1.7570,1.757000,1.750000,FAIL,FAIL,,FAIL,0.03,
CKT_0035,int8,,3,0.000000,1.7570,1.757000,1.750000,FAIL,FAIL,,FAIL,0.03,
CKT_0035,int4,,3,0.000000,1.7570,1.757000,1.750000,FAIL,FAIL,,FAIL,0.03,
CKT_0035,prune10,,3,1.750000,1.7570,0.007000,0.000000,PASS,PASS,,PASS,0.03,
CKT_0035,prune50,,3,1.750000,1.7570,0.007000,0.000000,PASS,PASS,,PASS,0.03,
CKT_0035,prune90,,3,1.750000,1.7570,0.007000,0.000000,PASS,PASS,,PASS,0.03,
CKT_0036,float64,,3,0.000000,0.0082,0.008200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0036,int16,,3,0.000000,0.0082,0.008200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0036,int8,,3,0.000000,0.0082,0.008200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0036,int4,,3,0.000000,0.0082,0.008200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0036,prune10,,3,0.000000,0.0082,0.008200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0036,prune50,,3,0.000000,0.0082,0.008200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0036,prune90,,3,0.000000,0.0082,0.008200,0.000000,PASS,PASS,,PASS,0.03,
CKT_0037,float64,,3,2.650000,2.6664,0.016400,0.000000,PASS,PASS,,PASS,0.03,
CKT_0037,int16,,3,0.000000,2.6664,2.666400,2.650000,FAIL,FAIL,,FAIL,0.03,
CKT_0037,int8,,3,0.000000,2.6664,2.666400,2.650000,FAIL,FAIL,,FAIL,0.03,
CKT_0037,int4,,3,0.000000,2.6664,2.666400,2.650000,FAIL,FAIL,,FAIL,0.03,
CKT_0037,prune10,,3,2.650000,2.6664,0.016400,0.000000,PASS,PASS,,PASS,0.02,
CKT_0037,prune50,,3,2.650000,2.6664,0.016400,0.000000,PASS,PASS,,PASS,0.02,
CKT_0037,prune90,,3,2.650000,2.6664,0.016400,0.000000,PASS,PASS,,PASS,0.03,
