circuit_id,complexity,N,max_degree,target_node,rho_J,omega,T_used,n_red,n_black,conflicts,pred_V_dsl,ref_V_rbsor,jacobi_ref_V,truth_V,abs_error,pass_fail,dsl_matches_ref,seq_length,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0129,Hard,43,4,42,0.999630,1.9470,220,22,21,0,7.7000,7.7000,5.6033,8.8102,1.1102,FAIL,Y,19010,16.45,6,36,cached,FAIL,
CKT_0130,Hard,43,4,42,0.999653,1.9487,225,22,21,0,22.9000,22.9000,20.7376,23.6201,0.7201,FAIL,Y,19440,16.92,6,36,built,FAIL,
CKT_0131,Hard,49,4,48,0.999123,1.9196,200,25,24,0,14.0000,14.0000,12.4988,14.0817,0.0817,FAIL,Y,19702,17.05,6,36,built,FAIL,
CKT_0132,Hard,49,4,48,0.999932,1.9769,445,25,24,0,9.8500,4.8500,0.9144,7.9791,1.8709,FAIL,N,43712,37.82,6,36,built,FAIL,
CKT_0133,Hard,50,4,49,0.999977,1.9864,724,25,25,0,0.0000,0.0000,0.0026,6.976,6.9760,FAIL,Y,72504,62.70,6,36,cached,FAIL,
CKT_0134,Hard,29,4,14,0.997081,1.8581,200,15,14,14,12.2000,12.2000,11.9902,11.995,0.2050,FAIL,Y,11662,10.05,6,36,cached,FAIL,
CKT_0135,Hard,31,4,16,0.999395,1.9328,200,15,16,15,15.0000,15.0000,14.9693,14.9694,0.0306,PASS,Y,12466,10.76,6,36,built,PASS,
CKT_0136,Hard,29,4,14,0.999644,1.9480,223,15,14,14,14.7500,14.7500,3.8569,11.3129,3.4371,FAIL,Y,12996,11.17,6,36,built,FAIL,
CKT_0137,Hard,31,4,16,0.999662,1.9493,228,15,16,15,1.8500,1.8500,1.8407,1.8463,0.0037,PASS,Y,14202,12.28,6,36,built,PASS,
CKT_0138,Hard,29,4,14,0.999580,1.9437,209,15,14,14,18.2000,18.2000,6.4868,11.7056,6.4944,FAIL,Y,12184,10.50,6,36,built,FAIL,
CKT_0139,Hard,15,13,8,0.927376,1.4555,200,2,13,19,3.3000,3.3000,3.3000,3.3,0.0000,PASS,Y,6034,5.19,6,36,built,PASS,
CKT_0140,Hard,16,14,9,0.673564,1.1500,200,2,14,20,15.1500,15.1500,14.9810,14.9813,0.1687,FAIL,Y,6436,5.55,6,36,built,FAIL,
CKT_0141,Hard,15,13,8,0.990399,1.7571,200,2,13,19,0.0000,0.0000,4.0360,4.0347,4.0347,FAIL,Y,6034,5.21,6,36,built,FAIL,
CKT_0142,Hard,16,14,9,0.824330,1.2770,200,2,14,20,1.9000,1.9000,1.9133,1.9138,0.0138,PASS,Y,6436,5.63,6,36,built,PASS,
CKT_0143,Hard,15,13,8,0.859251,1.3231,200,2,13,19,1.8000,1.8000,1.8299,1.83,0.0300,PASS,Y,6034,5.23,6,36,built,PASS,
CKT_0144,Hard,22,7,11,0.990025,1.7530,200,13,9,13,14.9000,14.9000,9.2762,9.281,5.6190,FAIL,Y,8848,7.57,6,36,built,FAIL,
CKT_0145,Hard,22,7,11,0.997469,1.8672,200,11,11,16,0.0000,0.0000,7.6901,7.6912,7.6912,FAIL,Y,8848,7.61,6,36,built,FAIL,
CKT_0146,Hard,22,8,11,0.971400,1.6162,200,11,11,17,4.0500,7.1000,6.7538,6.7647,2.7147,FAIL,N,8848,7.64,6,36,built,FAIL,
CKT_0147,Hard,22,8,11,0.989952,1.7522,200,11,11,19,23.9500,23.9500,5.2264,5.227,18.7230,FAIL,Y,8848,7.66,6,36,built,FAIL,
CKT_0148,Hard,22,7,11,0.992654,1.7841,200,14,8,15,11.3500,11.3500,8.9632,8.9632,2.3868,FAIL,Y,8848,7.60,6,36,built,FAIL,
CKT_0149,Hard,10,5,5,0.910931,1.4159,200,6,4,7,1.9500,1.9500,1.9829,1.9826,0.0326,PASS,Y,4024,3.46,6,36,built,PASS,
CKT_0150,Hard,10,6,5,0.783367,1.2334,200,6,4,5,9.0000,9.0000,8.9992,8.9991,0.0009,PASS,Y,4024,3.48,6,36,built,PASS,
CKT_0151,Hard,14,6,7,0.934629,1.4753,200,8,6,12,15.0000,15.0000,15.0000,15.0,0.0000,PASS,Y,5632,4.82,6,36,built,PASS,
CKT_0152,Hard,14,6,7,0.996068,1.8372,200,7,7,9,23.9500,23.9500,3.5301,3.5907,20.3593,FAIL,Y,5632,4.85,6,36,built,FAIL,
CKT_0153,Hard,18,7,9,0.662593,1.1435,200,10,8,13,3.4500,3.4500,3.4366,3.4371,0.0129,PASS,Y,7240,6.26,6,36,built,PASS,
CKT_0154,Hard,22,7,11,0.955784,1.5455,200,10,12,19,8.4000,8.7500,13.3348,13.3355,4.9355,FAIL,N,8848,7.66,6,36,built,FAIL,
