circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,inference_time,skipped_existing,T,pred_V,truth_V,abs_error,seq_length,runtime_s,error,pass_fail
CKT_0113,25,1250,5,44,26,22,533,102784,827730,0.416,0.885,20.878,False,1250,9.0,8.995,0.005,31279,20.878,,PASS
CKT_0114,23,1150,5,44,26,22,529,102432,824874,0.418,0.97,17.245,False,1150,5.0,4.9991,0.0009,26477,17.245,,PASS
CKT_0115,25,1250,5,44,26,22,533,102784,827730,0.396,0.909,19.179,False,1250,17.85,23.6344,5.7844,31279,19.179,,FAIL
CKT_0116,23,1150,5,44,26,22,529,102432,824874,0.411,0.942,16.75,False,1150,8.85,8.8276,0.0224,26477,16.75,,PASS
CKT_0117,13,1000,5,44,26,22,509,100672,810594,0.418,0.845,8.348,False,1000,0.05,0.0487,0.0013,13017,8.348,,PASS
CKT_0118,14,1000,5,44,26,22,511,100848,812022,0.46,0.906,8.882,False,1000,3.3,3.3037,0.0037,14018,8.882,,PASS
CKT_0119,13,1000,5,44,26,22,509,100672,810594,0.413,0.872,8.365,False,1000,0.0,0.0237,0.0237,13017,8.365,,PASS
CKT_0120,14,1000,5,44,26,22,511,100848,812022,0.483,0.913,9.065,False,1000,3.45,3.4379,0.0121,14018,9.065,,PASS
CKT_0121,13,1000,5,44,26,22,509,100672,810594,0.438,0.928,8.287,False,1000,1.2,1.188,0.012,13017,8.287,,PASS
CKT_0122,18,1000,5,44,26,22,519,101552,817734,0.488,0.949,11.547,False,1000,6.1,6.1243,0.0243,18022,11.547,,PASS
CKT_0123,18,1000,5,44,26,22,519,101552,817734,0.416,0.875,11.304,False,1000,0.5,0.497,0.003,18022,11.304,,PASS
CKT_0124,18,1000,5,44,26,22,519,101552,817734,0.435,0.903,11.358,False,1000,7.4,7.4091,0.0091,18022,11.358,,PASS
CKT_0125,18,1000,5,44,26,22,519,101552,817734,0.413,0.967,11.565,False,1000,5.7,9.3061,3.6061,18022,11.565,,FAIL
CKT_0126,18,1000,5,44,26,22,519,101552,817734,0.427,0.891,10.902,False,1000,12.05,12.6372,0.5872,18022,10.902,,FAIL
CKT_0127,27,1350,5,44,26,22,537,103136,830586,0.417,0.948,23.279,False,1350,21.0,21.0205,0.0205,36481,23.279,,PASS
CKT_0128,27,1350,5,44,26,22,537,103136,830586,0.384,0.853,23.914,False,1350,0.05,0.026,0.024,36481,23.914,,PASS
CKT_0129,43,2150,5,44,26,22,569,105952,853434,0.415,0.942,58.725,False,2150,3.3,8.8102,5.5102,92497,58.725,,FAIL
CKT_0130,43,2150,5,44,26,22,569,105952,853434,0.393,0.836,61.386,False,2150,18.15,23.6201,5.4701,92497,61.386,,FAIL
CKT_0131,49,2450,5,44,26,22,581,107008,862002,0.48,0.95,77.668,False,2450,9.75,14.0817,4.3317,120103,77.668,,FAIL
CKT_0132,49,2450,5,44,26,22,581,107008,862002,0.443,0.986,76.796,False,2450,0.4,7.9791,7.5791,120103,76.796,,FAIL
CKT_0133,50,2500,5,44,26,22,583,107184,863430,0.428,0.895,80.948,False,2500,0.05,6.976,6.926,125054,80.948,,FAIL
CKT_0134,29,1450,5,44,26,22,541,103488,833442,0.421,0.983,27.63,False,1450,12.0,11.995,0.005,42083,27.63,,PASS
CKT_0135,31,1550,5,44,26,22,545,103840,836298,0.427,0.913,30.968,False,1550,14.95,14.9694,0.0194,48085,30.968,,PASS
CKT_0136,29,1450,5,44,26,22,541,103488,833442,0.466,0.93,27.53,False,1450,1.85,11.3129,9.4629,42083,27.53,,FAIL
CKT_0137,31,1550,5,44,26,22,545,103840,836298,0.427,0.979,30.119,False,1550,1.85,1.8463,0.0037,48085,30.119,,PASS
CKT_0138,29,1450,5,44,26,22,541,103488,833442,0.415,0.844,26.342,False,1450,4.55,11.7056,7.1556,42083,26.342,,FAIL
CKT_0139,15,1000,5,44,26,22,513,101024,813450,0.422,0.963,9.017,False,1000,3.3,3.3,0.0,15019,9.017,,PASS
CKT_0140,16,1000,5,44,26,22,515,101200,814878,0.4,0.848,9.926,False,1000,15.0,14.9813,0.0187,16020,9.926,,PASS
CKT_0141,15,1000,5,44,26,22,513,101024,813450,0.401,0.913,9.85,False,1000,4.05,4.0347,0.0153,15019,9.85,,PASS
CKT_0142,16,1000,5,44,26,22,515,101200,814878,0.4,0.846,9.746,False,1000,1.9,1.9138,0.0138,16020,9.746,,PASS
CKT_0143,15,1000,5,44,26,22,513,101024,813450,0.434,0.891,9.253,False,1000,1.85,1.83,0.02,15019,9.253,,PASS
CKT_0144,22,1100,5,44,26,22,527,102256,823446,0.413,0.953,14.989,False,1100,9.3,9.281,0.019,24226,14.989,,PASS
CKT_0145,22,1100,5,44,26,22,527,102256,823446,0.393,0.848,15.683,False,1100,7.7,7.6912,0.0088,24226,15.683,,PASS
CKT_0146,22,1100,5,44,26,22,527,102256,823446,,,15.374,True,1100,6.75,6.7647,0.0147,24226,15.374,,PASS
CKT_0147,22,1100,5,44,26,22,527,102256,823446,0.509,0.982,15.912,False,1100,5.25,5.227,0.023,24226,15.912,,PASS
CKT_0148,22,1100,5,44,26,22,527,102256,823446,0.421,0.877,14.617,False,1100,8.95,8.9632,0.0132,24226,14.617,,PASS
CKT_0149,10,1000,5,44,26,22,503,100144,806310,0.44,0.86,6.207,False,1000,2.0,1.9826,0.0174,10014,6.207,,PASS
CKT_0150,10,1000,5,44,26,22,503,100144,806310,0.406,0.83,6.627,False,1000,9.0,8.9991,0.0009,10014,6.627,,PASS
CKT_0151,14,1000,5,44,26,22,511,100848,812022,0.48,0.931,8.839,False,1000,15.0,15.0,0.0,14018,8.839,,PASS
CKT_0152,14,1000,5,44,26,22,511,100848,812022,0.406,0.922,9.126,False,1000,3.1,3.5907,0.4907,14018,9.126,,FAIL
CKT_0153,18,1000,5,44,26,22,519,101552,817734,0.37,0.786,10.889,False,1000,3.45,3.4371,0.0129,18022,10.889,,PASS
CKT_0154,22,1100,5,44,26,22,527,102256,823446,0.469,0.929,14.782,False,1100,13.35,13.3355,0.0145,24226,14.782,,PASS
