circuit_id,complexity,N,num_resistors,num_fixed_nodes,T_used,pred_V_dsl,truth_V,abs_error,pass_fail,pred_V_transformer,transformer_matches_dsl,jacobi_ref_V,direct_solve_V,rho_M,kappa_A,seq_length,dsl_time_ms,transformer_time_ms,n_layers,d_model,d_ffn,vocab,model_size_bytes,error
CKT_0117,Hard,13,38,6,1000,0.0500,0.0487,0.0013,PASS,,,0.0487,0.048662,0.1262083063,1.695660e+01,26030,5766.2,,5,36,20,510,592682,
CKT_0118,Hard,14,41,6,1000,3.3000,3.3037,0.0037,PASS,,,3.3047,3.303710,0.3044349300,2.472729e+01,28032,6259.6,,5,36,20,512,593858,
CKT_0119,Hard,13,38,4,1000,0.0000,0.0237,0.0237,PASS,,,0.0237,0.023746,0.7664998640,1.033239e+02,26030,5719.1,,5,36,20,510,592682,
CKT_0120,Hard,14,41,5,1000,3.4500,3.4379,0.0121,PASS,,,3.4383,3.437863,0.6499696056,1.227211e+01,28032,6222.6,,5,36,20,512,593858,
CKT_0121,Hard,13,38,5,1000,1.1500,1.188,0.0380,PASS,,,1.1893,1.188032,0.4961177794,1.650002e+02,26030,5709.7,,5,36,20,510,592682,
CKT_0122,Hard,18,40,4,1000,5.3000,6.1243,0.8243,FAIL,,,6.1175,6.124256,0.9717578857,1.981935e+02,36040,8038.4,,5,36,20,520,598562,
CKT_0123,Hard,18,40,5,1000,0.4500,0.497,0.0470,PASS,,,0.4958,0.496958,0.9826208595,3.772058e+05,36040,7920.5,,5,36,20,520,598562,
CKT_0124,Hard,18,40,6,1000,7.2500,7.4091,0.1591,FAIL,,,7.4082,7.409075,0.9020329965,7.431499e+03,36040,8163.7,,5,36,20,520,598562,
CKT_0125,Hard,18,40,5,1000,1.4500,9.3061,7.8561,FAIL,,,7.7575,9.306097,0.9979472059,6.716907e+03,36040,8119.7,,5,36,20,520,598562,
CKT_0126,Hard,18,40,5,1000,10.9000,12.6372,1.7372,FAIL,,,12.6013,12.637197,0.9951158524,7.106121e+03,36040,8125.0,,5,36,20,520,598562,
CKT_0127,Hard,27,50,6,1350,21.0000,21.0205,0.0205,PASS,,,21.0188,21.020549,0.8927087785,2.023126e+04,72958,16318.3,,5,36,20,538,609146,
