circuit_id,complexity,N,n_free,n_fixed,T1_build_s,T1_infer_s,T2_build_s,T2_infer_s,T2_n_tokens,T1_n_layers,T1_d_model,T1_n_params,T2_n_layers,T2_d_model,T2_n_params,pred_v,truth_v,abs_err_v,pass_50mv,pass_75mv,status,error
CKT_0081,Hard,17,11,6,1.8871,1.9473,0.2926,0.0361,38,3,130,340600,4,48,100608,4.7,4.7176,0.0176,PASS,PASS,OK,
CKT_0082,Hard,17,12,5,1.9362,1.9892,0.3212,0.0299,38,3,142,406120,4,48,100608,2.4,2.3987,0.0013,PASS,PASS,OK,
CKT_0083,Hard,17,12,5,1.9362,1.9863,0.3226,0.0303,38,3,142,406120,4,48,100608,15.0,14.9996,0.0004,PASS,PASS,OK,
CKT_0084,Hard,21,17,4,2.317,2.3003,0.3313,0.0368,46,3,202,820120,4,48,100608,14.25,14.2707,0.0207,PASS,PASS,OK,
CKT_0085,Hard,21,16,5,2.1546,2.1978,0.2913,0.0433,46,3,190,725800,4,48,100608,2.75,2.7688,0.0188,PASS,PASS,OK,
CKT_0086,Hard,25,19,6,2.4396,2.4715,0.3117,0.0517,54,3,226,1026040,4,48,100608,4.65,4.6575,0.0075,PASS,PASS,OK,
CKT_0087,Hard,25,20,5,2.4507,2.6399,0.3169,0.0516,54,3,238,1137640,4,48,100608,20.05,20.0725,0.0225,PASS,PASS,OK,
CKT_0088,Hard,26,21,5,2.5463,2.7194,0.292,0.0535,56,3,250,1255000,4,48,100608,4.95,4.9738,0.0238,PASS,PASS,OK,
CKT_0089,Hard,17,11,6,1.8789,1.9655,0.2912,0.03,38,3,130,340600,4,48,100608,3.5,3.4927,0.0073,PASS,PASS,OK,
CKT_0090,Hard,19,13,6,1.974,2.0264,0.3227,0.0397,42,3,154,477400,4,48,100608,4.95,4.9572,0.0072,PASS,PASS,OK,
CKT_0091,Hard,17,12,5,1.9156,1.9752,0.3274,0.0358,38,3,142,406120,4,48,100608,13.4,13.3976,0.0024,PASS,PASS,OK,
CKT_0092,Hard,19,13,6,1.9948,2.0685,0.3261,0.0328,42,3,154,477400,4,48,100608,15.05,15.0485,0.0015,PASS,PASS,OK,
CKT_0093,Hard,17,13,4,1.9797,2.0381,0.3189,0.0301,38,3,154,477400,4,48,100608,10.85,10.8352,0.0148,PASS,PASS,OK,
CKT_0094,Hard,10,6,4,1.66,1.7818,0.3284,0.0201,24,3,70,99400,4,48,100608,4.15,4.1475,0.0025,PASS,PASS,OK,
CKT_0095,Hard,11,5,6,1.616,1.7703,0.3391,0.0226,26,3,58,68440,4,48,100608,1.8,1.8,0.0,PASS,PASS,OK,
CKT_0096,Hard,10,5,5,1.6339,1.7802,0.2903,0.0201,24,3,58,68440,4,48,100608,11.3,11.3191,0.0191,PASS,PASS,OK,
CKT_0097,Hard,11,7,4,1.7163,1.7879,0.2911,0.0248,26,3,82,136120,4,48,100608,4.3,4.2758,0.0242,PASS,PASS,OK,
CKT_0098,Hard,10,4,6,1.5805,1.752,0.2941,0.0229,24,3,46,43240,4,48,100608,9.2,9.202,0.002,PASS,PASS,OK,
CKT_0099,Hard,14,10,4,1.8335,1.8646,0.3003,0.0307,32,3,118,280840,4,48,100608,1.85,1.8308,0.0192,PASS,PASS,OK,
CKT_0100,Hard,14,8,6,1.7492,1.8086,0.3244,0.0302,32,3,94,178600,4,48,100608,5.0,5.0,0.0,PASS,PASS,OK,
CKT_0101,Hard,14,9,5,1.7941,1.8473,0.2882,0.0302,32,3,106,226840,4,48,100608,2.65,2.6478,0.0022,PASS,PASS,OK,
CKT_0102,Hard,14,8,6,1.7479,1.8003,0.3632,0.03,32,3,94,178600,4,48,100608,10.85,10.8656,0.0156,PASS,PASS,OK,
CKT_0103,Hard,14,8,6,1.7557,1.8439,0.2897,0.0268,32,3,94,178600,4,48,100608,8.65,8.6457,0.0043,PASS,PASS,OK,
CKT_0104,Hard,22,18,4,2.3779,2.3703,0.3211,0.045,48,3,214,920200,4,48,100608,15.0,15.0,0.0,PASS,PASS,OK,
CKT_0105,Hard,22,16,6,2.1655,2.2461,0.293,0.0452,48,3,190,725800,4,48,100608,0.05,0.0601,0.0101,PASS,PASS,OK,
CKT_0106,Hard,22,17,5,2.3196,2.2897,0.3409,0.0461,48,3,202,820120,4,48,100608,11.8,11.7927,0.0073,PASS,PASS,OK,
CKT_0107,Hard,31,27,4,2.961,3.7841,0.2905,0.0562,66,3,322,2080120,4,48,100608,2.25,2.2513,0.0013,PASS,PASS,OK,
CKT_0108,Hard,31,27,4,3.0549,3.8514,0.2895,0.0544,66,3,322,2080120,4,48,100608,3.85,3.8495,0.0005,PASS,PASS,OK,
CKT_0109,Hard,36,30,6,3.3466,4.7959,0.3631,0.0618,76,3,358,2570440,4,48,100608,4.15,4.1397,0.0103,PASS,PASS,OK,
CKT_0110,Hard,36,31,5,3.3941,5.3068,0.3316,0.0742,76,3,370,2745400,4,48,100608,5.3,5.2916,0.0084,PASS,PASS,OK,
CKT_0111,Hard,37,33,4,3.8956,6.6738,0.3338,0.0625,78,3,394,3112600,4,48,100608,5.7,5.7196,0.0196,PASS,PASS,OK,
CKT_0112,Hard,23,19,4,2.4245,2.4906,0.3257,0.0402,50,3,226,1026040,4,48,100608,12.0,11.9984,0.0016,PASS,PASS,OK,
CKT_0113,Hard,25,21,4,2.5556,2.7064,0.3495,0.0426,54,3,250,1255000,4,48,100608,9.0,8.995,0.005,PASS,PASS,OK,
CKT_0114,Hard,23,17,6,2.3575,2.2937,0.3036,0.0398,50,3,202,820120,4,48,100608,5.0,4.9991,0.0009,PASS,PASS,OK,
CKT_0115,Hard,25,21,4,2.6175,2.8121,0.3391,0.044,54,3,250,1255000,4,48,100608,23.6,23.6344,0.0344,PASS,PASS,OK,
CKT_0116,Hard,23,19,4,2.6861,2.6324,0.314,0.0483,50,3,226,1026040,4,48,100608,8.85,8.8276,0.0224,PASS,PASS,OK,
CKT_0117,Hard,,,,,,,,,,,,,,,,,,,,ERROR,"runner_lu.py failed for CKT_0117 (exit 1):
STDOUT:

STDERR:
INFO Loaded weights from craft/cadj/idea2/lu_models/CKT_0117/model_06c50aba7058_lu.bin (vocab=23, d_model=82, n_layers=3, n_heads=41, d_ffn=70)
INFO Inverting 7x7 matrix (LU), slots x_val=9 b_va"
CKT_0118,Hard,14,8,6,2.3366,8.5231,0.4287,0.1669,32,3,94,178600,4,48,100608,3.3,3.3037,0.0037,PASS,PASS,OK,
CKT_0119,Hard,13,9,4,2.4829,2.4022,0.4326,0.2789,30,3,106,226840,4,48,100608,0.0,0.0237,0.0237,PASS,PASS,OK,
CKT_0120,Hard,14,9,5,2.4726,2.3526,0.4256,0.2188,32,3,106,226840,4,48,100608,3.45,3.4379,0.0121,PASS,PASS,OK,
